;userID;ISBN;bookRating
23875;8681;1559704160;8
6158;58342;140003180X;9
24632;138097;1584650532;9
11932;152036;1573225789;10
15367;124310;1573226106;8
62738;119654;188954633X;7
28185;123825;051511992X;7
3287;113904;042516098X;7
35613;25351;1563270439;7
10405;71623;1931561648;9
16812;141279;039914613X;7
3567;5170;014038572X;10
19070;149907;055321263X;10
40532;48217;031286860X;10
32682;144038;038000321X;10
44532;142137;039488051X;7
38727;66528;1565124057;4
66306;146855;014025157X;10
59557;99915;3442429552;8
12879;24603;038001503X;10
38218;52853;051509160X;7
7360;14521;067165764X;5
14474;143715;055329461X;5
37794;110057;055358619X;9
25473;105234;042517025X;8
13582;94772;037542217X;9
47374;78692;1576831027;9
33250;60854;1551668769;5
14051;104113;1561707244;10
35629;114368;055356045X;5
57463;93426;1929462379;10
66158;145529;1573800589;7
58290;98159;044022098X;7
33026;20254;1560255153;10
6857;32540;014025448X;10
34502;53392;006019538X;9
54752;79916;1567188257;8
48177;98391;037371100X;8
10847;143964;1558745718;6
55236;82801;1576732878;4
44954;48662;156305339X;5
35213;24624;1576834697;8
50370;102232;1930974159;8
56530;98391;006620951X;9
52937;98391;038097875X;8
58250;97874;1572242450;9
28422;14087;1573441244;10
27694;12945;048627053X;8
32254;19145;1580050751;10
57511;94173;038519515X;10
58203;97290;013356360X;6
22403;64946;043942089X;6
65327;138578;1555836399;6
49831;56959;088101009X;10
944;45993;037582233X;10
23852;133571;055356921X;7
8905;16634;055321330X;8
40527;32530;157748326X;8
29624;69156;1891830430;9
29656;16000;1573061468;8
48878;98391;039914725X;8
36879;26583;088776116X;10
6651;125692;042510107X;5
39869;125692;089375403X;8
200;85367;043935806X;10
44111;132173;1400060494;7
4323;33434;067976402X;5
50715;60244;1573220787;9
22915;98391;038081918X;9
6993;11993;1556612257;7
59581;147965;1579545238;7
19802;146530;1573229628;7
13666;143163;1558532161;10
34641;29408;067974505X;7
65224;137627;1885061749;8
28002;13280;076455168X;7
7203;1435;1573221775;4
14260;36327;038071907X;7
41494;35445;188641128X;5
37077;27140;1556522746;10
46184;94427;1896860176;8
37465;148258;078580871X;10
9910;57948;1559029838;7
45850;43436;155868056X;9
47323;133905;1885211155;7
49105;55490;081914262X;7
15554;80768;068485080X;6
35939;76873;074320042X;5
64779;134483;080503188X;7
55987;92152;068483149X;7
26655;89634;006104444X;8
48881;54898;088436996X;9
43481;36836;1591020077;10
58859;98391;1592860230;9
58459;98391;042519714X;10
34892;23847;1590170180;5
2964;54335;1400034779;8
27828;105969;1551667010;8
36131;93988;089296720X;7
61812;112559;037376023X;8
21398;61854;006001203X;8
32822;100459;073700049X;8
35835;25601;1890627143;10
37942;98391;037380203X;10
21825;128332;078681859X;8
256;136491;043935806X;9
31768;69697;1551665956;9
63148;123883;068950599X;5
18554;5410;1410798860;10
42516;38005;1569753008;8
9553;68984;080410526X;9
56949;92175;068981321X;5
6451;88812;059035342X;9
8541;104636;044021145X;10
60031;101851;1885183224;9
65411;138844;1880461250;9
48949;55065;1566091470;5
58109;96448;1558746145;8
5457;278007;1551669110;6
32632;143415;014200023X;5
4268;4732;067976402X;9
23291;8245;1591251478;8
19564;133041;080411109X;10
34986;23872;1853264253;10
22333;23714;1853262005;8
57871;95250;1400032903;8
6469;101851;059035342X;10
52353;69078;1559360623;7
50688;60244;155927378X;10
1305;135149;039480029X;10
12795;38023;055321313X;10
21627;90616;1400060923;5
63744;127203;1583670254;5
6328;22688;059035342X;7
4169;3344;042518336X;8
2151;30972;014100018X;7
14181;147686;1573229326;8
11750;29041;068484267X;8
15610;3023;1573245216;9
53114;95316;1854307088;9
35145;24215;097188191X;9
58847;98391;1592798748;10
39797;31551;1555611664;5
7474;86555;006016848X;8
5152;87051;1558745157;9
65291;138441;089845865X;9
58941;98391;1843603934;10
54074;76499;007028380X;5
28992;123883;1551660202;5
24236;57713;042510687X;5
47473;51075;1550547380;3
1385;28091;044023722X;8
10650;126810;044023574X;5
66296;146582;1566193052;5
58720;98391;157566917X;9
21579;139287;067942525X;5
44916;105058;006103083X;8
64003;128325;1579544290;8
64454;130554;068815526X;6
59679;100906;081288552X;8
54692;79441;044178268X;5
47023;98391;044100864X;9
60415;104530;068480025X;5
9770;93426;1551668270;7
48120;52487;044004328X;5
48650;90212;1903116066;7
15748;89602;044661193X;8
45524;42887;1888451572;5
27173;132901;055323336X;5
23377;104362;1400060737;9
56592;88733;1572151749;9
1585;117873;044023722X;8
44633;98391;052594575X;9
15300;39133;1400032717;8
9322;46312;059067319X;10
48297;107784;155773822X;5
30645;120817;044922368X;5
42628;117975;1575665557;8
65766;142524;051744898X;9
33707;98391;1400042135;10
31223;46398;1576738574;4
6775;74493;1551668300;8
7115;6242;039592720X;5
49488;55927;1566195519;9
49115;55490;1567187447;8
36215;26371;042514691X;7
59926;101851;1555603041;9
32725;132836;015668568X;10
29450;23571;1929001002;10
26067;28204;038072121X;8
20634;141491;038572179X;3
6793;149598;1551668300;7
20493;128008;034536676X;8
3278;95359;042516098X;4
22044;21257;034539092X;8
61304;110361;1572434376;8
63608;126693;1885840039;3
55940;86895;1580624308;5
5323;112765;044651652X;10
54340;77809;155041707X;9
11123;42914;038533348X;9
24427;120873;1878424483;10
4063;47152;1551660717;8
17445;6242;068480087X;6
28059;13518;157748794X;8
21964;59189;1551668440;8
16080;94513;044022831X;7
35589;25261;051504895X;9
60172;102967;006107005X;9
35562;25131;1559273828;9
16646;95991;1567312500;9
8547;107244;044021145X;10
44219;38273;1581840594;10
4023;126814;051510566X;7
18484;104058;1558746986;10
50974;72214;155054991X;7
11404;383;1880185008;5
45821;112148;1400030927;8
55066;81540;080650711X;6
63150;123883;1551668556;5
25177;45255;078670621X;10
22816;152645;076790382X;8
58383;98391;031231809X;9
47072;49212;1400034639;10
57095;93047;003049186X;8
52035;110309;087011364X;10
48767;98391;031286874X;9
51965;67775;037324469X;8
53936;76352;055319643X;5
26112;76499;039309412X;10
64480;130847;1560251204;10
62555;117159;057111976X;10
20328;132318;1558746226;8
11519;93085;006101351X;8
46389;46389;083177892X;8
47222;98391;155166657X;8
33433;21014;1850893799;8
6410;65032;059035342X;2
41985;144241;067167319X;7
20737;85757;068480123X;10
64505;131032;1840460431;5
20955;78779;1573229725;7
26987;12490;1842230514;4
18791;5582;074340596X;7
23623;71081;044022330X;8
22781;132232;068817776X;8
34298;23350;031287717X;9
60341;107784;1551662973;5
10424;278545;1887166092;8
14142;91113;1573229326;9
2557;32773;067940676X;8
344;134290;044020562X;9
62990;122429;9211003997;9
48848;54643;1583456031;8
18100;45420;031242227X;9
10647;89377;044023574X;9
29088;105214;051513239X;8
5428;89602;034543479X;5
19296;104636;006440031X;9
17657;40889;1551668653;5
66145;145449;1893162680;9
58535;98391;076530113X;8
35421;143175;1570426449;5
54178;76499;902470068X;10
30637;16795;044840947X;5
23744;94120;042511984X;8
29659;94347;093019313X;7
6448;87141;059035342X;10
59059;98440;1576732304;8
62881;121176;037323015X;6
55932;86826;1592864589;10
49631;104382;1570431108;9
51600;132375;1573221716;10
18502;50073;1885171080;8
28039;94529;037541178X;7
21870;122429;1856975770;10
58330;98391;006000147X;9
45967;43910;1400061830;6
27414;42408;1566191432;10
31897;17876;1580080936;9
63869;129465;042517431X;9
15150;2891;039597707X;7
22975;51450;1551665204;10
32884;98391;1551666510;8
65419;138883;1556611986;10
62179;114504;031226979X;5
37086;27140;1575667509;10
19445;60307;067944999X;8
15444;64635;006099486X;7
59906;101851;087341618X;8
48123;52525;067987707X;7
38349;29648;1564025446;6
13468;29259;089480829X;10
49645;152099;1593071639;10
14109;31541;1573229326;7
16481;98474;1558746099;5
46693;129915;1575662272;8
46941;48494;1840651725;10
5917;69697;051511779X;9
43583;86263;1583940537;10
59105;98723;1557100225;8
30065;16634;038077982X;8
54021;76426;067964086X;8
54665;79285;068911947X;10
16871;3573;1892065169;8
34845;23768;1885222602;7
40799;135265;037379097X;8
21230;7060;1556618409;9
50630;124721;039516995X;10
34868;112765;1892051060;10
39190;48217;1570643679;7
10713;29259;155874262X;10
23946;81771;044920846X;7
38672;30257;1573228516;9
18024;66323;034540761X;6
54026;107333;1562827693;7
19653;26544;1551668459;7
46729;47971;002907052X;6
64272;129716;039309071X;10
6785;108132;1551668300;7
42092;49212;089480698X;8
30254;16634;1585670499;8
27827;88677;1551667010;5
51328;132083;1558500189;10
18945;25751;067144901X;5
21246;107514;059043411X;8
37901;28594;1887279806;9
498;96880;074343627X;9
24526;9227;5553465214;7
32984;101851;1560761156;9
188;74056;043935806X;10
25562;112727;038097729X;8
712;110912;055358295X;8
53204;97874;074321367X;10
54732;79583;1586609807;10
51721;65465;087113280X;8
64441;130485;1878977156;3
42295;45403;1573221368;8
33700;21364;078711118X;6
50718;103467;1573221562;6
41325;52584;044990587X;7
18707;135567;1558748040;7
39062;98391;037369105X;8
19139;142121;1400031362;9
39216;30898;068807510X;9
37390;104268;055380250X;10
26749;11993;087123615X;7
10114;278418;1570423008;5
8499;71075;044021145X;8
40155;31826;1570822344;10
48901;54898;1580632122;10
49494;55985;190259357X;9
42898;70564;1563523302;7
59005;98391;1894942353;10
63411;125203;207036741X;7
34704;23768;1558611479;7
42104;95991;140005446X;9
38456;114368;051512947X;10
40542;32627;1568849036;8
48565;53174;006444001X;10
7643;26593;030712908X;10
26939;48037;1556618123;5
60967;107784;1557734011;5
3684;105517;1558744150;7
23918;8681;1884910394;7
28881;96054;067169507X;10
52853;70345;067003231X;6
61024;136598;1883513073;8
59845;101606;031286518X;10
51390;142524;1591823897;2
25508;10560;051513449X;7
66525;148296;1585672076;10
254;134529;043935806X;10
24010;113602;006109286X;9
31537;43246;1550810510;9
6007;51359;068484477X;7
30173;129851;1400031699;6
49572;115841;044075934X;8
9592;114048;080410526X;7
6209;138193;1551666839;5
8177;57935;042513525X;7
58334;98391;006018888X;9
57883;110483;2266078720;8
6501;117824;059035342X;8
45165;41351;044652154X;6
49975;60244;067972477X;10
60988;107865;1575664941;10
24325;85985;055357339X;8
55213;82578;067973886X;7
42527;36088;1894294483;9
38769;30276;078601489X;7
25772;147228;087113795X;10
7260;44269;051513287X;9
6150;23768;140003180X;7
27821;69017;1551667010;7
59626;100590;156276408X;7
40556;92399;014038006X;8
25504;10560;038550098X;8
62955;122372;075961525X;9
57800;94952;044805454X;8
32484;125540;031228327X;7
1665;42597;037541309X;8
14132;70603;1573229326;7
56614;88733;1880216183;9
52867;70415;059046163X;10
61693;112001;1568650507;10
52198;68760;1552091414;10
40044;31702;1891946013;8
30596;102647;042514898X;8
42533;36148;039302024X;4
49106;55490;083598592X;10
27626;12824;159182379X;9
12540;73044;1573229571;7
60294;117581;091336715X;8
29422;15408;1573440167;8
4483;120771;067976402X;10
57140;93047;1555834345;8
12396;14768;1558747028;8
49027;55187;1580174434;10
26775;93363;1556610343;8
50244;121594;1400051428;9
9872;7346;1559029838;8
49081;55438;1577945832;10
54577;78834;1879333112;10
49913;56959;188301073X;10
10308;278461;050552502X;9
47240;100906;014044100X;10
66188;145747;1931696810;5
1917;95173;038550926X;7
10670;278732;1865085537;3
27473;93047;088730866X;7
64710;133747;044991190X;7
48870;54761;1577233603;8
54165;76499;1853838454;10
6419;74665;059035342X;9
60727;121489;088419325X;7
24152;8782;1879682737;10
15151;20172;039597707X;8
32420;85757;1853260320;7
59008;98391;1904738028;10
55679;85526;1564783219;3
51276;62662;1590600746;5
17931;8284;082173718X;8
43501;142661;1857022424;9
46127;44794;1555037739;8
49794;102967;042512214X;6
17875;4385;037325668X;10
19165;113778;038073186X;10
3532;28289;051512219X;5
52857;70371;1588720446;10
66830;151206;069101650X;10
18458;57986;1558506462;10
47837;51883;096419354X;10
20781;125779;082177462X;8
23988;24452;006105691X;10
6474;104636;059035342X;10
66478;148199;189675712X;8
28752;14487;1874166986;7
2118;21014;006440188X;9
1673;83252;037541309X;7
51508;64241;1555173497;10
29471;139467;039332110X;9
19630;89602;1551520559;7
66234;146175;067150696X;8
19078;6115;042506154X;10
35461;146386;050552113X;10
18469;5285;1593080077;9
51861;135149;044100704X;7
39792;31502;068484219X;7
31977;25517;038529932X;6
2678;95360;080410753X;8
8616;141493;044021145X;8
30426;99312;006065337X;10
35606;60419;081202947X;10
61955;113519;1562920332;8
8162;34748;042513525X;9
37441;27888;053114058X;5
60667;105987;076422476X;7
32499;78448;042506137X;8
11096;14456;034543014X;7
65869;143163;158333095X;10
49798;56959;044013160X;5
34060;22423;051513175X;10
2842;75149;1400031354;7
23856;8681;068482390X;10
33521;21229;091959154X;5
56942;148191;1571741941;9
35387;29867;1551660598;8
56673;148304;068418916X;8
19776;106988;157322202X;3
2440;143163;043936213X;10
37758;28591;037325587X;7
1987;67296;051511605X;5
39619;31315;1574322524;10
11852;20180;1573225789;10
23746;130465;042511984X;6
58106;96448;059060404X;5
21827;7286;078943413X;9
48945;94951;044100962X;8
63454;125203;2800627565;5
10373;278510;1853264083;4
34904;23872;044815689X;7
48897;54898;1572152362;9
60390;104429;1561798029;10
34519;122352;015100496X;5
29109;43246;1558744215;8
14009;2010;1552976246;2
61034;108243;059086632X;9
46600;47279;2850186457;8
2682;101851;080410753X;9
17048;43418;1551668912;7
65075;136139;1582430853;5
6934;148744;014025448X;9
11124;51100;038533348X;10
10682;244;155874262X;6
28676;101606;1573225541;6
12445;16005;156341029X;8
39685;68081;1883523184;5
55827;86145;006096541X;8
30729;49212;067168390X;9
51686;65258;1575022745;7
18123;89602;031242227X;8
52140;68555;1551660083;5
25322;10354;1591820316;9
56040;87141;1565922182;8
66072;144828;1582430624;7
13863;145619;1551666030;9
29407;126736;1565121368;4
37791;98391;055358619X;9
45403;42394;014014773X;7
5530;278026;1551669625;6
50450;90657;067155302X;5
32517;36709;067173914X;7
28868;74330;067169507X;5
44199;38273;076152651X;10
62641;118369;1862075964;8
66691;149907;1892295245;7
66004;143822;1587240211;9
41766;35859;034542820X;7
37114;27169;1551662698;8
59939;101851;155970148X;9
23788;8537;1562055089;5
47923;51992;015600531X;8
31004;134797;1551667193;6
53301;88733;087857395X;9
50154;58426;055384007X;7
62116;114368;037307817X;5
66761;150124;1585981656;10
47092;49262;088419793X;10
37889;28594;1572971290;6
50113;58156;031226254X;5
54745;108685;1593080026;10
45982;134948;039458709X;9
19554;122958;080411109X;10
34313;23450;1400050308;8
37288;88677;037371081X;8
20073;10560;006039384X;9
49007;66757;074323538X;8
44580;65056;1575668793;5
36486;147965;1551661497;7
51052;61521;080106340X;5
9587;109864;080410526X;9
53477;73588;1879682109;5
39677;57599;1576730824;9
20705;150863;052594527X;5
22071;111035;038081563X;5
51175;110912;055324504X;10
8101;93413;038549081X;4
14097;6242;1573229326;6
35730;25409;1932407391;6
39006;48355;1929998457;8
11949;505;038549825X;8
13864;1733;1551666200;9
64664;132836;1561580929;10
57690;123981;038073155X;5
36857;42917;075966661X;10
40851;73127;1567186661;8
19439;27812;067944999X;8
64776;134350;1579546390;9
40163;31826;1579545491;10
39640;113531;1888848359;7
38738;131046;037303783X;8
65010;135736;067988095X;8
243;123257;043935806X;10
384;43726;059030271X;7
62818;120598;078970269X;5
26845;131319;1573229881;5
30705;69697;067101966X;8
25189;113519;078670621X;9
33243;126604;1565123158;6
4156;56856;014034893X;7
44050;37974;1570670137;8
40730;33030;155817169X;10
13048;3331;067102535X;9
59522;99441;1854104640;8
30803;93591;074341697X;9
20774;51663;082177462X;7
62219;117593;1572972327;6
32413;100906;1552975401;8
40518;98741;1580620477;10
38683;135149;1551668114;8
12577;709;015216250X;10
22055;127389;034539092X;9
28892;123700;067169507X;10
14721;38273;080757516X;10
34232;23280;078578487X;10
52281;142256;087398269X;8
52362;69078;1567997430;8
12109;50258;055357695X;8
14554;20961;031209261X;8
34515;80234;014023716X;8
28419;14087;1566091888;7
4374;62464;067976402X;9
7061;65465;1878424319;8
1078;4221;1558743669;9
7861;152186;034538475X;8
25495;10560;038548237X;10
27971;146083;156584100X;7
21999;107784;006091565X;5
13807;1733;055329945X;8
15021;43061;1558744630;8
42706;36590;076151290X;8
58729;98391;1576737632;9
8735;741;044132231X;8
43883;101305;015601422X;7
47597;51450;055347331X;10
6432;81368;059035342X;8
17282;98904;038079487X;8
65175;136747;033037401X;10
5201;14422;044651652X;7
39372;31050;067083338X;3
29415;55457;1573221503;10
49121;55490;1568820488;10
20623;119529;038572179X;8
40035;31650;1568846355;8
46157;110040;038548853X;8
30401;16786;1564581128;5
15068;11924;1558746161;3
45376;42208;042518613X;7
36217;67085;042514691X;6
54127;76499;1551112493;10
4478;117539;067976402X;9
40788;33384;038072703X;10
1417;37135;044023722X;7
39323;98391;1573229334;8
8462;46671;044021145X;7
17452;34300;068480087X;4
52071;100846;006008409X;8
143;22241;043935806X;8
52862;70415;002863196X;10
53800;75819;1558212884;8
27546;27596;1569319502;10
8406;20060;044021145X;9
31139;16795;1562920448;8
39185;82659;068816711X;6
41484;124078;034532448X;10
49872;56959;1561382159;10
39193;30835;1581150245;8
35307;144516;1860491022;7
65998;143668;055358636X;10
9738;34501;1551665859;4
29379;15408;155728542X;7
63490;125519;1556590199;10
63603;126609;1882376730;5
14154;110361;1573229326;5
6915;113531;014025448X;8
41407;98391;1551666944;10
2428;103577;043936213X;7
4793;50815;055328942X;7
48755;53538;1564400263;5
6257;37712;044022425X;10
49861;56959;1559944277;8
26005;53527;014006690X;9
21078;30735;006000469X;8
65628;141157;1551923041;9
46086;129716;1884910033;10
2110;142055;006092988X;9
51660;65258;007036205X;7
6989;114937;1556611188;10
54089;76499;031020173X;7
58840;98391;1592220126;9
30812;16795;080078412X;6
57659;94781;083081082X;6
32544;96528;1565122178;9
19864;6285;067931041X;7
13329;1098;031227999X;7
40309;113519;068815588X;8
29219;102594;1571740570;8
12245;3840;193156146X;10
54362;91598;1577311922;10
20902;136927;1573223425;7
17299;124310;038079487X;7
55446;83605;1400032601;7
25681;143715;1573228583;7
59823;101209;1883013291;5
5520;24567;1551669609;8
12218;8454;015600710X;7
32853;121345;1580623700;9
5167;119271;1558745157;6
11524;95932;006101351X;9
1303;129494;039480029X;6
56103;87141;1887140085;7
23144;15758;031220387X;8
17590;78855;1573227331;8
4352;50972;067976402X;7
41898;136010;052524185X;7
53807;142524;1565121627;7
65262;138138;1582431620;9
42156;101336;1556618670;8
38621;42162;1569319618;7
3052;122867;1400034779;10
13055;39087;067102535X;10
23353;64270;1400030382;8
53468;73486;031211771X;6
38831;30276;156054175X;9
12766;48027;1573229385;7
19699;84627;1561633259;8
47960;52036;1579543626;5
1790;151493;014023313X;9
17800;4197;055380099X;9
61105;108638;1843040018;4
44690;39773;1567654649;10
10403;69355;1931561648;8
38674;83275;067089463X;10
53010;70953;089577321X;7
59485;99281;1567998453;8
7340;278355;1577780728;9
13653;13850;1558532161;9
56778;90335;067983611X;7
6403;60263;059035342X;10
8996;17859;055356451X;10
64115;150124;1557987912;8
15592;82831;1584855185;7
57810;95010;1567290361;8
32470;19653;1555610757;5
47819;51883;055327533X;10
31421;45939;1551669072;8
45529;56856;059043053X;5
19255;96521;1894294424;9
43012;36609;044914965X;7
51849;66825;1899179976;10
28042;13518;059048351X;9
30349;120410;1551668378;2
47703;51679;1559702753;6
58759;98391;1586190334;9
36892;145449;067943125X;8
35086;24186;1892597055;10
36980;109779;055380202X;9
58302;98263;1551106191;8
45382;42309;038097438X;10
52818;70183;007008159X;7
24180;8844;1557346763;9
20505;37902;034539044X;9
29620;119071;1582431302;5
48314;146564;1569246777;7
24305;62272;1551664313;10
7752;92556;034538184X;8
6710;278188;082177574X;7
10025;99955;1562470043;7
26152;69697;042517140X;10
58886;98391;1594140766;10
52603;114368;037379102X;5
45787;43308;1591294347;10
29777;73923;1400032237;7
60496;126604;014029404X;10
60321;104098;1552090248;10
61886;113030;1550547143;10
48547;95359;044010047X;5
8202;114444;042513525X;6
55129;110280;1575669129;10
3175;76530;1572304510;6
42384;139991;1592230202;9
2070;277427;003008685X;8
27351;114265;1558533729;5
51249;62464;1564781623;7
18450;5268;1558506462;5
45477;42718;1570761175;10
46542;47128;052594270X;10
45379;42210;1403391688;8
23228;98520;055358264X;8
38225;123883;051509160X;5
1955;277292;1551668726;8
59984;101851;156504410X;8
48560;64803;044023705X;7
2536;123825;067101417X;7
23404;139206;006000925X;6
28071;139243;038531986X;10
49934;56959;1931499020;10
4403;84178;067976402X;7
11515;92652;006101351X;5
14423;50130;080411935X;9
66034;144113;1896356052;4
35636;98391;006009348X;9
25059;51189;014004891X;10
21256;116005;014045022X;10
52387;69078;8420616419;9
20862;147044;156947012X;6
34089;104812;038532720X;6
2470;114368;044011585X;10
8093;63956;038549081X;9
57917;95359;155583714X;6
21542;93426;067189109X;7
46533;100459;1562314416;7
29794;47830;1573220221;8
31629;43767;006057898X;4
46826;135360;1892597004;8
11869;47152;1573225789;10
43764;113300;1561705683;9
33660;104636;1558749780;10
40819;33580;031213326X;8
48378;135265;037369136X;7
35961;36811;067100316X;7
37355;33474;1579121551;9
24413;125519;1573227358;9
18979;5956;1884800394;5
18363;98159;044651862X;6
27008;52614;1551669374;6
64463;130554;1896095011;5
40147;36606;1562926160;5
46029;44400;1410757609;10
49269;55492;1563053381;7
48117;52459;088029261X;8
52893;92652;1559720646;5
5337;121817;044651652X;7
49663;127233;1885171277;6
6977;98391;078601525X;9
34347;23571;037541536X;8
954;102642;037582233X;8
52897;83152;1891575139;10
39844;31556;059045143X;7
19123;110934;1400031362;9
49862;56959;1559946695;10
49909;56959;1859672981;10
7710;72732;034530988X;7
14925;99955;1562475878;7
19746;105948;1573221937;8
62443;116122;1576101746;8
33877;21659;055305306X;10
49632;141902;1570431108;8
34567;74511;038549422X;9
31973;18172;034543708X;8
63973;128014;1551668882;8
57918;95359;1555911927;7
62987;122429;1890515078;9
20093;63389;014025644X;9
44528;39345;1885378017;9
55694;85526;1885211368;7
53987;107784;155773044X;5
37620;130581;1572241934;5
9698;28591;1551664372;7
6983;278221;1556611188;9
8338;51977;043910274X;3
3309;143033;042516098X;8
42773;110934;055334465X;7
49425;55687;155597354X;8
5136;62891;1558745157;9
4499;127537;067976402X;10
52342;69078;080505118X;7
58338;98391;006056542X;8
35196;24556;1560438495;7
20011;93836;067940712X;8
42004;122429;068484611X;8
59867;101680;1581343973;9
23894;107326;1563890410;9
48081;52199;1856985121;7
4791;49907;055328942X;7
38302;95991;1566195403;8
54174;125203;2707301485;8
46044;44588;1896757170;3
12192;1395;193072229X;10
61234;109574;1880033267;8
5851;74577;044022103X;10
64484;130847;1576731979;10
43356;36836;087975737X;9
53798;75819;087113862X;10
17964;112001;1551666014;10
27074;12538;044022022X;5
41768;119575;034542820X;5
3724;277535;034543739X;7
17338;74665;031205436X;8
44867;40698;082176568X;5
37028;96716;1582431795;5
28325;13850;1401073549;4
64747;133962;1550501933;9
48961;55106;1414063024;9
58;34588;038550120X;5
24972;141392;042519213X;9
25764;101305;087113795X;9
60071;102154;007882401X;10
38052;28938;1567180264;5
12101;146207;055356160X;7
58140;96528;081745005X;8
3646;244;1558744150;6
60155;102844;1555442153;5
39381;31080;1551667231;8
6346;28594;059035342X;9
54695;79441;067165568X;4
32017;128835;014026759X;8
61823;112672;1559706082;7
25467;10447;1893121119;8
18909;23182;055337933X;5
58449;98391;039915048X;8
13406;95359;038533656X;6
21076;6782;006104055X;5
28323;13850;068812920X;10
1360;15623;044023722X;8
49970;57088;1588370232;10
40224;100906;067172813X;9
13909;100852;038082101X;7
59198;143175;1555035310;9
5305;101876;044651652X;8
63678;127129;1555661785;7
34002;87141;1565925157;7
11312;59727;1565041992;10
19865;6289;096774590X;10
27577;112083;1591821088;10
63025;123056;1878067583;8
41964;75551;067100669X;5
12441;139584;1555834531;6
13466;21364;089480829X;1
34930;23872;1556610793;7
3711;277532;1550544683;7
47644;51450;1590580982;10
14223;4017;068484270X;10
1848;109864;014029628X;8
51273;62631;1403363137;10
10621;278641;1550741195;7
45856;43586;1558321179;9
20673;147678;044990542X;7
42488;35921;155971087X;8
6685;135141;042518904X;5
61787;112174;1410722457;10
33995;22154;020135358X;9
10467;113519;1401300057;8
64039;128835;048622614X;7
33194;147307;051512902X;8
21432;97694;006053429X;9
20562;42093;038549744X;8
41332;73588;055329752X;8
58265;97874;1888767340;7
22238;108005;075820230X;9
376;14698;059030271X;8
57632;94427;1551520354;7
40477;32250;1556611919;9
